director_name,actor_2_name,gross,actor_1_name,actor_3_name,facenumber_in_poster,budget,imdb_score
Peter Jackson,Adam Brown,255108370,Aidan Turner,James Nesbitt,0,250000000,7.5
Marc Webb,Andrew Garfield,262030663,Emma Stone,Chris Zylka,0,230000000,7
Ridley Scott,William Hurt,105219735,Mark Addy,Scott Grimes,0,200000000,6.7
Peter Jackson,Adam Brown,258355354,Aidan Turner,James Nesbitt,6,225000000,7.9
Chris Weitz,Eva Green,70083519,Christopher Lee,Kristin Scott Thomas,2,180000000,6.1
Peter Jackson,Thomas Kretschmann,218051260,Naomi Watts,Evan Parke,0,207000000,7.2
James Cameron,Kate Winslet,658672302,Leonardo DiCaprio,Gloria Stuart,0,200000000,7.7
Anthony Russo,Scarlett Johansson,407197282,Robert Downey Jr.,Chris Evans,0,250000000,8.2
Peter Berg,Alexander Skarsgård,65173160,Liam Neeson,Tadanobu Asano,0,209000000,5.9
Colin Trevorrow,Judy Greer,652177271,Bryce Dallas Howard,Omar Sy,0,150000000,7
Sam Mendes,Helen McCrory,304360277,Albert Finney,Rory Kinnear,0,200000000,7.8
Sam Raimi,James Franco,373377893,J.K. Simmons,Kirsten Dunst,1,200000000,7.3
Shane Black,Jon Favreau,408992272,Robert Downey Jr.,Don Cheadle,3,200000000,7.2
Tim Burton,Alan Rickman,334185206,Johnny Depp,Anne Hathaway,0,200000000,6.5
Brett Ratner,Kelsey Grammer,234360014,Hugh Jackman,Daniel Cudmore,0,210000000,6.8
Dan Scanlon,Tyler Labine,268488329,Steve Buscemi,Sean Hayes,0,200000000,7.3
Michael Bay,Kevin Dunn,402076689,Glenn Morshower,Ramon Rodriguez,0,200000000,6
Michael Bay,Sophia Myles,245428137,Bingbing Li,Kelsey Grammer,2,210000000,5.7
Sam Raimi,Mila Kunis,234903076,Tim Holmes,James Franco,4,215000000,6.4
Marc Webb,Andrew Garfield,202853933,Emma Stone,B.J. Novak,0,200000000,6.7
Joseph Kosinski,Olivia Wilde,172051787,Jeff Bridges,James Frain,0,170000000,6.8
John Lasseter,Thomas Kretschmann,191450875,Joe Mantegna,Eddie Izzard,0,200000000,6.3
Martin Campbell,Temuera Morrison,116593191,Ryan Reynolds,Taika Waititi,2,200000000,5.6
Lee Unkrich,John Ratzenberger,414984497,Tom Hanks,Don Rickles,3,200000000,8.3
McG,Bryce Dallas Howard,125320003,Christian Bale,Common,0,200000000,6.6
James Wan,Paul Walker,350034110,Jason Statham,Vin Diesel,0,190000000,7.2
Marc Forster,Brad Pitt,202351611,Peter Capaldi,Mireille Enos,0,190000000,7
Bryan Singer,Peter Dinklage,233914986,Jennifer Lawrence,Hugh Jackman,7,200000000,8
J.J. Abrams,Bruce Greenwood,228756232,Benedict Cumberbatch,Noel Clarke,0,190000000,7.8
Bryan Singer,Ewen Bremner,65171860,Eddie Marsan,Ralph Brown,1,195000000,6.3
Baz Luhrmann,Elizabeth Debicki,144812796,Leonardo DiCaprio,Steve Bisley,4,105000000,7.3
Mike Newell,Richard Coyle,90755643,Jake Gyllenhaal,Reece Ritchie,2,200000000,6.6
Guillermo del Toro,Clifton Collins Jr.,101785482,Charlie Hunnam,Larry Joe Campbell,0,190000000,7
Michael Bay,Lester Speight,352358779,Glenn Morshower,Kevin Dunn,2,195000000,6.3
Steven Spielberg,Ray Winstone,317011114,Harrison Ford,Jim Broadbent,2,185000000,6.2
Peter Sohn,Jack McGraw,123070338,A.J. Buckley,Peter Sohn,0,,6.8
Mark Andrews,John Ratzenberger,237282182,Kelly Macdonald,Julie Walters,0,185000000,7.2
Justin Lin,Melissa Roxburgh,130468626,Sofia Boutella,Lydia Wilson,4,185000000,7.5
Andrew Stanton,Fred Willard,223806889,John Ratzenberger,Jeff Garlin,0,180000000,8.4
Brett Ratner,Dana Ivey,140080850,Tzi Ma,Noémie Lenoir,2,140000000,6.2
Roland Emmerich,Liam James,166112167,Oliver Platt,Tom McCarthy,0,200000000,5.8
Robert Zemeckis,Colin Firth,137850096,Robin Wright,Gary Oldman,0,200000000,6.8
Lana Wachowski,Mila Kunis,47375327,Channing Tatum,Eddie Redmayne,1,176000000,5.4
David Yates,Alexander Skarsgård,124051759,Christoph Waltz,Casper Crump,2,180000000,6.6
Andrew Adamson,Kiran Shah,291709845,Jim Broadbent,Shane Rangi,5,180000000,6.9
Bryan Singer,Michael Fassbender,154985087,Jennifer Lawrence,Tye Sheridan,6,178000000,7.3
Christopher Nolan,Heath Ledger,533316061,Christian Bale,Morgan Freeman,0,185000000,9
Pete Docter,Delroy Lindo,292979556,John Ratzenberger,Jess Harnell,1,175000000,8.3
Rob Letterman,Rainn Wilson,198332128,Amy Poehler,Stephen Colbert,2,175000000,6.5
Jon Favreau,Jeff Bridges,318298180,Robert Downey Jr.,Jon Favreau,3,140000000,7.9
Martin Scorsese,Christopher Lee,73820094,Chloë Grace Moretz,Ray Winstone,0,170000000,7.5
Barry Sonnenfeld,Salma Hayek,113745408,Will Smith,Bai Ling,2,170000000,4.8
Rob Cohen,Brendan Fraser,102176165,Jet Li,Russell Wong,2,145000000,5.2
David Ayer,Robin Atkin Downes,161087183,Will Smith,Ike Barinholtz,8,175000000,6.9
Tom Shadyac,Morgan Freeman,100289690,Jimmy Bennett,Steve Carell,0,175000000,5.4
Doug Liman,Lara Pulver,100189501,Tom Cruise,Noah Taylor,1,178000000,7.9
Kevin Reynolds,Rick Aviles,88246220,Jeanne Tripplehorn,Zakes Mokae,0,175000000,6.1
Stephen Sommers,Dennis Quaid,150167630,Joseph Gordon-Levitt,Leo Howard,4,175000000,5.8
Pete Docter,Mindy Kaling,356454367,Amy Poehler,Phyllis Smith,1,175000000,8.3
Jon Favreau,Bill Murray,362645141,Scarlett Johansson,Garry Shandling,0,175000000,7.8
Jon Favreau,Scarlett Johansson,312057433,Robert Downey Jr.,Jon Favreau,4,200000000,7
Rupert Sanders,Kristen Stewart,155111815,Chris Hemsworth,Sam Claflin,0,170000000,6.1
Robert Stromberg,Sharlto Copley,241407328,Angelina Jolie Pitt,Sam Riley,2,180000000,7
Matt Reeves,Judy Greer,208543795,Gary Oldman,Kodi Smit-McPhee,0,170000000,7.6
Roland Joffé,Alice Englert,,Tamsin Egerton,Bipasha Basu,3,,4.5
Carl Rinsch,Cary-Hiroyuki Tagawa,38297305,Keanu Reeves,Jin Akanishi,2,175000000,6.3
Anthony Russo,Chris Evans,259746958,Scarlett Johansson,Hayley Atwell,1,170000000,7.8
Mike Mitchell,Kathy Griffin,238371987,Jon Hamm,Mary Kay Place,2,165000000,6.4
Brad Bird,Chris Bauer,93417865,Judy Greer,Thomas Robinson,2,190000000,6.5
Don Hall,Daniel Henney,222487711,Damon Wayans Jr.,Abraham Benrubi,0,165000000,7.9
Rich Moore,Sarah Silverman,189412677,Jack McBrayer,Joe Lo Truglio,1,165000000,7.8
Robert Zemeckis,Eddie Deezen,665426,Tom Hanks,Peter Scolari,0,165000000,6.6
Roland Emmerich,Sela Ward,102315545,Vivica A. Fox,Judd Hirsch,0,165000000,5.5
Dean DeBlois,America Ferrera,217387997,Gerard Butler,Craig Ferguson,0,165000000,8.2
Jonathan Mostow,M.C. Gainey,150350192,Nick Stahl,Carolyn Hennesy,0,200000000,6.4
James Gunn,Vin Diesel,333130696,Bradley Cooper,Djimon Hounsou,3,170000000,8.1
Christopher Nolan,Anne Hathaway,187991439,Matthew McConaughey,Mackenzie Foy,1,165000000,8.6
Christopher Nolan,Tom Hardy,292568851,Leonardo DiCaprio,Joseph Gordon-Levitt,0,160000000,8.8
Hideaki Anno,Shin'ya Tsukamoto,,Mark Chinnery,Atsuko Maeda,0,,8.2
Peter Jackson,Adam Brown,303001229,Aidan Turner,James Nesbitt,,180000000,7.9
Rob Cohen,Vin Diesel,144512310,Paul Walker,Jordana Brewster,2,38000000,6.7
David Fincher,Jason Flemyng,127490802,Brad Pitt,Julia Ormond,2,150000000,7.8
Matthew Vaughn,Michael Fassbender,146405371,Jennifer Lawrence,Oliver Platt,3,160000000,7.8
Francis Lawrence,Philip Seymour Hoffman,281666058,Jennifer Lawrence,Josh Hutcherson,1,160000000,6.6
Jon Turteltaub,Omar Benson Miller,63143812,Nicolas Cage,Robert Capron,0,150000000,6.1
Wolfgang Petersen,Mike Vogel,60655503,Jimmy Bennett,Andre Braugher,0,160000000,5.6
James Bobin,Alan Rickman,76846624,Johnny Depp,Anne Hathaway,1,170000000,6.4
Chris Miller,Eric Idle,320706665,Justin Timberlake,Rupert Everett,2,160000000,6.1
Duncan Jones,Callum Rennie,46978995,Dominic Cooper,Ruth Negga,0,160000000,7.3
Alan Taylor,Emilia Clarke,89732035,J.K. Simmons,Matt Smith,2,155000000,6.6
Michael Apted,Shane Rangi,104383624,Bruce Spence,Laura Brent,4,155000000,6.3
Michael Bay,Jaime King,198539855,Jennifer Garner,Mako,0,140000000,6.1
Michael Bay,Michael O'Neill,318759914,Zack Ward,Kevin Dunn,0,150000000,7.1
Oliver Stone,Angelina Jolie Pitt,34293771,Anthony Hopkins,Brian Blessed,3,155000000,5.5
David Yates,Daniel Radcliffe,292000866,Robert Pattinson,Fiona Shaw,3,150000000,7.5
Mike Newell,Daniel Radcliffe,289994397,Robert Pattinson,Rupert Grint,1,150000000,7.6
Peter Berg,Charlize Theron,227946274,Will Smith,Eddie Marsan,0,150000000,6.4
Francis Lawrence,Alice Braga,256386216,Will Smith,Willow Smith,0,150000000,7.2
Tim Burton,Christopher Lee,206456431,Johnny Depp,David Kelly,3,150000000,6.7
Brad Bird,John Ratzenberger,206435493,Janeane Garofalo,Brian Dennehy,0,150000000,8
Christopher Nolan,Liam Neeson,205343774,Christian Bale,Morgan Freeman,0,150000000,8.3
Eric Darnell,Jada Pinkett Smith,179982968,Bernie Mac,Cedric the Entertainer,0,150000000,6.7
Shawn Levy,Rami Malek,177243721,Robin Williams,Steve Coogan,2,150000000,5.9
Gavin Hood,Ryan Reynolds,179883016,Hugh Jackman,Dominic Monaghan,0,150000000,6.7
Lana Wachowski,Collin Chou,139259759,Essie Davis,Nona Gaye,0,150000000,6.7
Chris Buck,Maurice LaMarche,400736600,Josh Gad,Livvy Stubenrauch,0,150000000,7.6
Lana Wachowski,Daniel Bernhardt,281492479,Steve Bastoni,Helmut Bakaitis,0,150000000,7.2
Alan Taylor,Natalie Portman,206360018,Chris Hemsworth,Anthony Hopkins,3,170000000,7.1
George Miller,Charlize Theron,153629485,Tom Hardy,Zoë Kravitz,0,150000000,8.1
Ron Howard,Ayelet Zurer,133375846,Tom Hanks,Armin Mueller-Stahl,2,150000000,6.7
Kenneth Branagh,Natalie Portman,181015141,Chris Hemsworth,Anthony Hopkins,1,150000000,7
Byron Howard,Diedrich Bader,114053579,Chloë Grace Moretz,James Lipton,0,150000000,6.9
Hoyt Yeatman,Piper Mackenzie Harris,119420252,Kelli Garner,Niecy Nash,0,150000000,5.1
Jonathan Liebesman,Edgar Ramírez,83640426,Liam Neeson,Lily James,0,150000000,5.8
Tim Burton,Chloë Grace Moretz,79711678,Johnny Depp,Christopher Lee,7,100000000,6.2
Christopher McQuarrie,Jeremy Renner,195000874,Tom Cruise,Sean Harris,0,150000000,7.4
Joe Johnston,Simon Merrells,61937495,Anthony Hopkins,Art Malik,0,150000000,5.8
David Yates,Alexander Skarsgård,124051759,Christoph Waltz,Casper Crump,2,180000000,6.6
Steve Hickner,Oprah Winfrey,126597121,Matthew Broderick,Rip Torn,0,150000000,6.2
Jennifer Yuh Nelson,Gary Oldman,165230261,Angelina Jolie Pitt,Mike Bell,0,150000000,7.3
M. Night Shyamalan,Noah Ringer,131564731,Seychelle Gabriel,Aasif Mandvi,0,150000000,4.2
J.J. Abrams,Tom Cruise,133382309,Philip Seymour Hoffman,Eddie Marsan,0,150000000,6.9
Roland Emmerich,Jake Weber,73103784,Channing Tatum,Matt Craven,2,150000000,6.4
Simon Wells,Dan Fogler,21379315,Elisabeth Harnois,Tom Everett Scott,0,150000000,5.4
David Bowers,Kate Winslet,64459316,Hugh Jackman,David Suchet,0,149000000,6.7
Joe Wright,Cara Delevingne,34964818,Hugh Jackman,Nonso Anozie,4,150000000,5.8
Rob Minkoff,Zach Callison,111505642,Ty Burrell,Karan Brar,2,145000000,6.9
Wolfgang Petersen,Orlando Bloom,133228348,Brad Pitt,Julian Glover,2,175000000,7.2
Eric Darnell,Martin Short,216366733,Jada Pinkett Smith,Cedric the Entertainer,0,145000000,6.9
Lee Tamahori,Colin Salmon,160201106,Toby Stephens,Rick Yune,0,142000000,6.1
Paul Feig,Kate McKinnon,118099659,Ed Begley Jr.,Zach Woods,4,144000000,5.5
Michael Bay,Steve Buscemi,201573391,Bruce Willis,Will Patton,0,140000000,6.6
Barry Sonnenfeld,Rosario Dawson,190418803,Will Smith,Rip Torn,2,140000000,6.1
Robert Zemeckis,Anthony Hopkins,82161969,Robin Wright,Sebastian Roché,1,150000000,6.3
Alessandro Carloni,Angelina Jolie Pitt,143523463,J.K. Simmons,Wayne Knight,0,145000000,7.2
Brad Bird,Jeremy Renner,209364921,Tom Cruise,Michael Nyqvist,3,145000000,7.4
Peter Ramsey,Kamil McFadden,103400692,Hugh Jackman,Khamani Griffin,0,145000000,7.3
Dean Parisot,Richard Burgi,110332737,John Michael Higgins,David Herman,1,100000000,6.1
Edward Zwick,Tony Goldwyn,111110575,Tom Cruise,Chad Lindberg,1,140000000,7.7
Ridley Scott,María Valverde,65007045,Christian Bale,Ben Mendelsohn,0,140000000,6.1
J.J. Abrams,Leonard Nimoy,257704099,Chris Hemsworth,Bruce Greenwood,0,150000000,8
Sam Raimi,James Franco,403706375,J.K. Simmons,Kirsten Dunst,0,139000000,7.3
Dean DeBlois,Djimon Hounsou,176997107,Gerard Butler,America Ferrera,5,145000000,7.9
Alex Proyas,Elodie Yung,31141074,Gerard Butler,Bryan Brown,4,140000000,5.5
Rob Cohen,Joe Morton,31704416,Sam Shepard,Richard Roxburgh,0,135000000,5
Zack Snyder,Billy Crudup,107503316,Matt Frewer,Stephen McHattie,1,130000000,7.7
Richard Donner,Rene Russo,129734803,Jet Li,Darlene Love,2,140000000,6.6
Ang Lee,Regi Davis,132122995,Kevin Rankin,Celia Weston,0,137000000,5.7
Jon M. Chu,Dwayne Johnson,122512052,Channing Tatum,Elodie Yung,6,130000000,5.8
Breck Eisner,Rainn Wilson,68642452,Matthew McConaughey,Delroy Lindo,3,130000000,6
Hironobu Sakaguchi,Ming-Na Wen,32131830,Steve Buscemi,Jean Simmons,1,137000000,6.4
Joe Johnston,Dominic Cooper,176636816,Chris Evans,Hayley Atwell,0,140000000,6.9
Michael Apted,Maria Grazia Cucinotta,126930660,Colin Salmon,Desmond Llewelyn,2,135000000,6.4
Peter Weir,Lee Ingleby,93926386,James D'Arcy,David Threlfall,1,150000000,7.4
Bill Condon,Kristen Stewart,292298923,Robert Pattinson,Taylor Lautner,3,120000000,5.5
George Miller,Brad Pitt,63992328,Robin Williams,Common,0,135000000,5.9
Louis Leterrier,Peter Mensah,134518390,Ty Burrell,William Hurt,0,150000000,6.8
,Philip Michael Thomas,,Don Johnson,John Diehl,2,1500000,7.5
Steven Spielberg,Penelope Wilton,52792307,Mark Rylance,Rafe Spall,0,140000000,6.8
Alejandro G. Iñárritu,Tom Hardy,183635922,Leonardo DiCaprio,Lukas Haas,0,135000000,8.1
David Soren,Snoop Dogg,83024900,Ryan Reynolds,Ben Schwartz,0,135000000,6.5
Gore Verbinski,Ray Winstone,123207194,Johnny Depp,Stephen Root,0,135000000,7.2
Eric Darnell,Annet Mahendru,83348920,Benedict Cumberbatch,Andy Richter,0,132000000,6.7
Paul Greengrass,Edgar Ramírez,227137090,Matt Damon,Albert Finney,0,110000000,8.1
Mark Osborne,Wayne Knight,215395021,Angelina Jolie Pitt,Dan Fogler,0,130000000,7.6
Peyton Reed,Hayley Atwell,180191634,Judy Greer,T.I.,6,130000000,7.4
Francis Lawrence,Josh Hutcherson,424645577,Jennifer Lawrence,Sandra Ellis Lafferty,1,130000000,7.6
Bill Condon,Kristen Stewart,292298923,Robert Pattinson,Taylor Lautner,3,120000000,5.5
Tim Johnson,Matt Jones,177343675,Jim Parsons,April Winchell,0,135000000,6.7
Steven Spielberg,Lisa Ann Walter,234277056,Tom Cruise,Rick Gonzalez,0,132000000,6.5
Michael Bay,Henry Rollins,138396624,Will Smith,Jordi Mollà,1,130000000,6.6
Chris Miller,Constance Marie,149234747,Salma Hayek,Amy Sedaris,0,130000000,6.7
Phillip Noyce,Andre Braugher,118311368,Angelina Jolie Pitt,August Diehl,1,110000000,6.4
Darren Aronofsky,Emma Watson,101160529,Anthony Hopkins,Logan Lerman,2,125000000,5.8
Steven Spielberg,Mackenzie Crook,77564037,Toby Jones,Tony Curran,1,135000000,7.4
Alfonso Cuarón,Gary Oldman,249358727,Daniel Radcliffe,Rupert Grint,3,130000000,7.8
Baz Luhrmann,Bryan Brown,49551662,Essie Davis,Eddie Baroo,0,130000000,6.6
M. Night Shyamalan,Zoë Kravitz,60522097,Will Smith,Glenn Morshower,0,130000000,4.9
Eric Leighton,D.B. Sweeney,137748063,Alfre Woodard,Della Reese,1,127500000,6.5
Matt Birch,Dave Legeno,,Rupert Grint,Ralph Ineson,1,,7.5
Shawn Levy,Rami Malek,113733726,Robin Williams,Steve Coogan,7,127000000,6.2
Tom McGrath,Brad Pitt,148337537,J.K. Simmons,Will Ferrell,3,130000000,7.3
Chris Columbus,Fiona Shaw,317557891,Daniel Radcliffe,Verne Troyer,4,125000000,7.5
Robert Schwentke,Jeff Bridges,33592415,Ryan Reynolds,Stephanie Szostak,2,130000000,5.6
Hideaki Anno,Shin'ya Tsukamoto,,Mark Chinnery,Atsuko Maeda,0,,8.2
Gore Verbinski,Orlando Bloom,305388685,Johnny Depp,Jack Davenport,3,140000000,8.1
Matt Birch,Toby Jones,,Rupert Grint,Alfred Enoch,1,,6.4
Francis Lawrence,Philip Seymour Hoffman,337103873,Jennifer Lawrence,Josh Hutcherson,1,125000000,6.7
Ron Howard,Seth Gabel,217536138,Tom Hanks,Jürgen Prochnow,2,125000000,6.6
Carlos Saldanha,Rachel Crow,131536019,Miguel Ferrer,Jeffrey Garcia,0,103000000,6.4
Bryan Singer,Bruce Davison,214948780,Hugh Jackman,Aaron Stanford,4,110000000,7.5
Justin Lin,Vin Diesel,209805005,Paul Walker,Dwayne Johnson,3,125000000,7.3
Guy Ritchie,Eddie Marsan,186830669,Robert Downey Jr.,Paul Anderson,2,125000000,7.5
Louis Leterrier,Jason Flemyng,163192114,Liam Neeson,Alexa Davalos,0,125000000,5.8
Paul Verhoeven,Rachel Ticotin,119412921,Ronny Cox,Marshall Bell,0,65000000,7.5
John McTiernan,Vladimir Kulich,32694788,Tony Curran,Clive Russell,1,85000000,6.6
Tony Gilroy,Scott Glenn,113165635,Jeremy Renner,Stacy Keach,0,125000000,6.7
Joel Schumacher,Vivica A. Fox,107285004,Michael Gough,John Glover,3,125000000,3.7
Ron Howard,T.J. Thyne,260031035,Clint Howard,Molly Shannon,0,123000000,6
Roland Emmerich,Dennis Quaid,186739919,Jake Gyllenhaal,Sela Ward,0,125000000,6.4
John Woo,Dougray Scott,215397307,Tom Cruise,Richard Roxburgh,0,125000000,6.1
Wolfgang Petersen,Mary Elizabeth Mastrantonio,182618434,Karen Allen,Bob Gunton,0,140000000,6.4
Tim Story,Ioan Gruffudd,131920333,Chris Evans,Andre Braugher,3,130000000,5.6
Ang Lee,Rafe Spall,124976634,Suraj Sharma,Tabu,0,120000000,8
Mark Steven Johnson,Matt Long,115802596,Nicolas Cage,Peter Fonda,1,110000000,5.2
Paul Greengrass,Riz Ahmed,108521835,Matt Damon,Ato Essandoh,0,120000000,7.1
McG,Bernie Mac,100685880,Demi Moore,Justin Theroux,0,120000000,4.8
Ridley Scott,Charlize Theron,126464904,Michael Fassbender,Sean Harris,0,130000000,7
Rob Minkoff,Brad Garrett,64736114,Nathan Lane,Melanie Griffith,0,120000000,5.4
Neill Blomkamp,Sharlto Copley,93050117,Matt Damon,Alice Braga,0,115000000,6.6
David Twohy,Alexa Davalos,57637485,Vin Diesel,Christina Cox,0,105000000,6.7
José Padilha,Abbie Cornish,58607007,Gary Oldman,Jennifer Ehle,0,100000000,6.2
Lana Wachowski,Kick Gurry,43929341,Scott Porter,Nicholas Elia,0,120000000,6.1
James L. Brooks,Domenick Lombardozzi,30212620,Shelley Conn,Teyonah Parris,4,120000000,5.3
James Mangold,Marc Blucas,76418654,Tom Cruise,Jordi Mollà,0,117000000,6.3
Joseph Kosinski,Tom Cruise,89021735,Morgan Freeman,Zoë Bell,0,120000000,7
George Lucas,Christopher Lee,380262555,Natalie Portman,Hayden Christensen,4,113000000,7.6
George Lucas,Christopher Lee,310675583,Natalie Portman,Hayden Christensen,3,115000000,6.7
Pete Docter,John Ratzenberger,289907418,Steve Buscemi,James Coburn,0,115000000,8.1
James Mangold,Tao Okamoto,132550960,Hugh Jackman,Rila Fukushima,1,120000000,6.7
George Lucas,Liam Neeson,474544677,Natalie Portman,Ian McDiarmid,1,115000000,6.5
Kirk De Micco,Emma Stone,187165546,Ryan Reynolds,Nicolas Cage,3,135000000,7.3
Frédéric Forestier,Santiago Segura,,Alain Delon,Vanessa Hessler,1,78000000,5.1
John Woo,Roger Willie,40911830,Nicolas Cage,Noah Emmerich,0,115000000,6
Cedric Nicolas-Troyan,Sam Claflin,47952020,Chris Hemsworth,Charlize Theron,2,115000000,6.1
Jonathan Liebesman,Danny Woodburn,190871240,Noel Fisher,Jeremy Howard,0,125000000,5.9
Alfonso Cuarón,Basher Savage,274084951,Phaldut Sharma,Amy Warren,0,100000000,7.8
Roger Donaldson,Grant Heslov,67155742,Jamie Renée Smith,Tzi Ma,1,116000000,5.8
Dave Green,Noel Fisher,81638674,Stephen Amell,Brad Garrett,,135000000,6.3
Josh Trank,Reg E. Cathey,56114221,Tim Blake Nelson,Tim Heidecker,3,120000000,4.3
Shawn Levy,Rami Malek,250863268,Robin Williams,Steve Coogan,2,110000000,6.4
Brad Peyton,Ioan Gruffudd,155181732,Dwayne Johnson,Archie Panjabi,0,110000000,6.1
Roger Spottiswoode,Colin Salmon,125332007,Vincent Schiavelli,Joe Don Baker,3,110000000,6.5
Roland Emmerich,Adam Baldwin,113330342,Heath Ledger,Tom Wilkinson,1,110000000,7.1
Steven Soderbergh,Julia Roberts,125531634,Brad Pitt,Mini Anden,0,110000000,6.4
Doug Liman,Angelina Jolie Pitt,186336103,Brad Pitt,Stephanie March,2,120000000,6.5
Robert Schwentke,Theo James,129995817,Kate Winslet,Mekhi Phifer,0,110000000,6.3
Martin Scorsese,Adam Scott,102608827,Leonardo DiCaprio,Frances Conroy,0,110000000,7.5
Rob Letterman,Catherine Tate,42776259,James Corden,Olly Alexander,1,112000000,4.9
Michel Gondry,Tom Wilkinson,98780042,Christoph Waltz,Chad L. Coleman,0,120000000,5.8
,Dirk Benedict,,George Peppard,Dwight Schultz,4,,7.6
Noam Murro,Sullivan Stapleton,106369117,Eva Green,Peter Mensah,0,110000000,6.2
Raja Gosnell,Tim Gunn,142614158,Mahadeo Shivraj,Madison McKinley,3,110000000,5.5
Will Finn,Roseanne Barr,50026353,Steve Buscemi,G.W. Bailey,0,110000000,5.4
Robert Schwentke,Theo James,66002193,Naomi Watts,Zoë Kravitz,3,110000000,5.8
Shawn Levy,Torey Michael Adkins,85463309,Hugh Jackman,Olga Fonda,1,110000000,7.1
Raja Gosnell,Nancy O'Dell,71017784,Jacob Tremblay,Vanessa Matsui,3,105000000,5.4
Jan de Bont,Temuera Morrison,48068396,Jason Patric,Lois Chiles,0,160000000,3.7
Gavin Hood,Moises Arias,61656849,Harrison Ford,Aramis Knight,4,110000000,6.7
Len Wiseman,Jonathan Sadowski,134520804,Bruce Willis,Cyril Raffaelli,1,110000000,7.2
Peter Jackson,Orlando Bloom,313837577,Christopher Lee,Billy Boyd,2,93000000,8.8
Frank Coraci,Steve Coogan,24004159,Jim Broadbent,Cécile De France,0,110000000,5.8
Michael Mann,Jada Pinkett Smith,58183966,Will Smith,Joe Morton,1,107000000,6.8
Bo Welch,Kelly Preston,100446895,Sean Hayes,Spencer Breslin,1,109000000,3.8
Alex Proyas,Bruce Greenwood,144795350,Will Smith,Chi McBride,1,120000000,7.1
Ridley Scott,Orlando Bloom,47396698,Liam Neeson,Philip Glenister,1,130000000,7.2
Rob Minkoff,Nathan Lane,140015224,Chazz Palminteri,Jeffrey Jones,0,133000000,5.9
Ron Clements,Jenifer Lewis,104374107,Oprah Winfrey,Anika Noni Rose,0,105000000,7.1
Ridley Scott,Donald Glover,228430993,Matt Damon,Benedict Wong,1,108000000,8.1
Christopher Barnard,,,Mathew Buck,,0,,7.2
Michael Bay,Steve Buscemi,35799026,Scarlett Johansson,Djimon Hounsou,1,126000000,6.9
Peter Chelsom,Warren Beatty,6712451,Del Zamora,Garry Shandling,0,90000000,4.4
Dominic Sena,Angelina Jolie Pitt,101643008,Nicolas Cage,Robert Duvall,1,90000000,6.5
Ridley Scott,Connie Nielsen,187670866,Djimon Hounsou,Oliver Reed,0,103000000,8.5
Steven Spielberg,Frank Grillo,132014112,Tom Cruise,Jessica Capshaw,0,102000000,7.7
Chris Columbus,Rupert Grint,261970615,Daniel Radcliffe,Emma Watson,1,100000000,7.4
Martin Campbell,Tobias Menzies,167007184,Eva Green,Ivana Milicevic,1,150000000,8
Tim Burton,Estella Warren,180011740,Cary-Hiroyuki Tagawa,Erick Avari,0,100000000,5.7
James Cameron,Jenette Goldstein,204843350,Joe Morton,S. Epatha Merkerson,0,102000000,8.5
Michael Mann,Christian Bale,97030725,Johnny Depp,Stephen Graham,1,100000000,7
Ridley Scott,Ruby Dee,130127620,Denzel Washington,RZA,0,100000000,7.8
